date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel
2026-05-03,Урал,ТВ,Сидорова,60043.34,2,7928.6,completed,0,2026-04-27,0
2026-06-10,Сибирь,ТВ,Сидорова,0.0,2,1442.1,cancel,1,2026-06-08,1
2026-05-26,Урал,Ноутбуки,Сидорова,37660.84,1,3999.69,completed,0,2026-05-25,0
2026-04-06,Москва,Планшеты,Сидорова,35094.43,3,4969.84,completed,0,2026-04-06,0
2026-04-05,Москва,Планшеты,Сидорова,15002.75,2,1077.3,return,1,2026-03-30,1
2026-06-18,Юг,Наушники,Сидорова,37790.32,3,3520.32,return,1,2026-06-15,1
2026-04-27,Москва,Ноутбуки,Сидорова,0.0,3,2458.79,cancel,1,2026-04-27,1
2026-04-30,Сибирь,Бытовая техника,Сидорова,72970.29,3,2740.41,completed,0,2026-04-27,0
2026-04-02,Москва,Ноутбуки,Сидорова,41997.08,2,4369.84,return,1,2026-03-30,1
2026-05-26,СПб,Планшеты,Сидорова,51349.97,3,5826.5,return,1,2026-05-25,1
2026-05-15,Урал,Планшеты,Сидорова,112120.41,2,14038.44,return,1,2026-05-11,1
2026-04-13,СПб,Смартфоны,Сидорова,0.0,2,4604.44,cancel,1,2026-04-13,1
2026-05-20,Москва,ТВ,Сидорова,0.0,3,2980.16,cancel,1,2026-05-18,1
2026-05-01,Сибирь,ТВ,Сидорова,109943.73,1,7723.51,completed,0,2026-04-27,0
2026-05-18,Урал,Планшеты,Сидорова,14624.49,1,873.39,completed,0,2026-05-18,0
2026-05-17,СПб,Ноутбуки,Сидорова,0.0,1,3222.09,cancel,1,2026-05-11,1
2026-05-06,Москва,Ноутбуки,Сидорова,71895.79,1,1367.01,completed,0,2026-05-04,0
2026-06-09,СПб,Наушники,Сидорова,55831.93,2,3339.28,return,1,2026-06-08,1
2026-05-03,Урал,Бытовая техника,Сидорова,39568.16,2,5659.79,completed,0,2026-04-27,0
2026-06-12,Урал,Бытовая техника,Сидорова,6387.52,2,336.33,completed,0,2026-06-08,0
2026-05-01,Сибирь,Наушники,Сидорова,59822.42,1,6774.38,return,1,2026-04-27,1
2026-05-23,Урал,ТВ,Сидорова,92779.89,1,107.58,completed,0,2026-05-18,0
2026-04-29,Урал,Бытовая техника,Сидорова,49304.7,1,2463.28,completed,0,2026-04-27,0
2026-06-15,Урал,Смартфоны,Сидорова,95339.55,1,7979.39,completed,0,2026-06-15,0
2026-05-26,Юг,Ноутбуки,Сидорова,36245.2,1,3168.23,return,1,2026-05-25,1
2026-05-23,Сибирь,Бытовая техника,Сидорова,39221.08,1,3942.4,completed,0,2026-05-18,0
2026-05-18,Сибирь,Планшеты,Сидорова,0.0,1,757.87,cancel,1,2026-05-18,1
2026-04-08,Сибирь,Ноутбуки,Сидорова,115974.81,3,16476.49,completed,0,2026-04-06,0
2026-04-21,Юг,Ноутбуки,Сидорова,98576.28,1,9480.76,completed,0,2026-04-20,0
2026-05-20,Урал,Ноутбуки,Сидорова,16008.86,1,114.66,return,1,2026-05-18,1
2026-06-08,Москва,Планшеты,Сидорова,37078.82,1,3173.93,completed,0,2026-06-08,0
2026-05-04,Москва,Планшеты,Сидорова,80731.44,1,11545.45,completed,0,2026-05-04,0
2026-06-28,Москва,Планшеты,Сидорова,31211.73,1,207.57,completed,0,2026-06-22,0
2026-06-09,Москва,ТВ,Сидорова,95559.78,3,5708.13,completed,0,2026-06-08,0
2026-05-09,СПб,Планшеты,Сидорова,73487.04,2,1130.94,return,1,2026-05-04,1
2026-04-22,Москва,Бытовая техника,Сидорова,44131.0,3,6607.41,return,1,2026-04-20,1
2026-04-24,Урал,Бытовая техника,Сидорова,0.0,1,6617.96,cancel,1,2026-04-20,1
2026-04-15,СПб,Планшеты,Сидорова,85372.42,3,11736.3,completed,0,2026-04-13,0
2026-05-10,Урал,Бытовая техника,Сидорова,119679.7,3,1165.78,return,1,2026-05-04,1
2026-06-03,Юг,ТВ,Сидорова,61270.45,2,2250.57,completed,0,2026-06-01,0
2026-05-11,Сибирь,Смартфоны,Сидорова,40336.56,2,1500.03,completed,0,2026-05-11,0
2026-04-09,Юг,Бытовая техника,Сидорова,98176.91,1,11238.13,completed,0,2026-04-06,0
2026-05-02,Сибирь,Наушники,Сидорова,119528.42,2,415.53,return,1,2026-04-27,1
2026-04-12,Урал,Бытовая техника,Сидорова,18670.39,2,1024.83,return,1,2026-04-06,1
2026-06-03,Юг,Ноутбуки,Сидорова,8985.45,3,388.98,return,1,2026-06-01,1
2026-06-09,Сибирь,ТВ,Сидорова,117084.69,3,16490.48,completed,0,2026-06-08,0
2026-06-11,Москва,ТВ,Сидорова,58562.43,3,962.81,completed,0,2026-06-08,0
2026-06-10,Урал,Планшеты,Сидорова,109718.53,3,12705.24,return,1,2026-06-08,1
2026-06-29,СПб,Ноутбуки,Сидорова,74378.96,3,3330.31,completed,0,2026-06-29,0
2026-06-26,Сибирь,Бытовая техника,Сидорова,43524.53,3,3127.75,completed,0,2026-06-22,0
2026-06-24,Урал,Планшеты,Сидорова,99870.35,1,1636.27,completed,0,2026-06-22,0
2026-05-29,СПб,ТВ,Сидорова,58861.48,2,5702.78,return,1,2026-05-25,1
2026-04-04,Москва,Бытовая техника,Сидорова,87075.99,2,7416.02,completed,0,2026-03-30,0
2026-06-11,СПб,Наушники,Сидорова,24619.4,1,25.22,completed,0,2026-06-08,0
2026-05-01,Урал,ТВ,Сидорова,30555.99,3,3313.26,return,1,2026-04-27,1
2026-05-31,Урал,Ноутбуки,Сидорова,92110.59,2,5719.1,return,1,2026-05-25,1
2026-04-08,СПб,Смартфоны,Сидорова,0.0,3,14595.96,cancel,1,2026-04-06,1
2026-06-24,Сибирь,Планшеты,Сидорова,0.0,2,11508.06,cancel,1,2026-06-22,1
2026-04-15,Москва,Планшеты,Сидорова,0.0,3,7496.28,cancel,1,2026-04-13,1
2026-04-26,Юг,ТВ,Сидорова,25456.05,2,3035.39,completed,0,2026-04-20,0
2026-05-26,Юг,Наушники,Сидорова,27735.8,1,3844.84,completed,0,2026-05-25,0
2026-04-14,Москва,Планшеты,Сидорова,0.0,1,8589.24,cancel,1,2026-04-13,1
2026-05-23,СПб,Наушники,Сидорова,0.0,1,16469.87,cancel,1,2026-05-18,1
2026-05-08,СПб,Бытовая техника,Сидорова,15796.22,1,1533.02,completed,0,2026-05-04,0
2026-06-25,Сибирь,Смартфоны,Сидорова,119731.22,2,16532.74,completed,0,2026-06-22,0
2026-06-03,СПб,ТВ,Сидорова,16580.11,2,1132.42,completed,0,2026-06-01,0
2026-06-17,Юг,Бытовая техника,Сидорова,27555.75,3,2522.43,completed,0,2026-06-15,0
2026-06-27,Юг,Ноутбуки,Сидорова,0.0,3,1575.27,cancel,1,2026-06-22,1
2026-05-03,Урал,Бытовая техника,Сидорова,50133.54,2,7145.94,completed,0,2026-04-27,0
2026-05-25,СПб,Бытовая техника,Сидорова,26671.23,1,3498.29,return,1,2026-05-25,1
2026-04-28,СПб,Наушники,Сидорова,74407.35,3,2377.93,completed,0,2026-04-27,0
2026-06-26,Москва,ТВ,Сидорова,0.0,1,6207.64,cancel,1,2026-06-22,1
2026-05-10,Москва,Смартфоны,Сидорова,4952.66,1,29.59,completed,0,2026-05-04,0
2026-05-30,Сибирь,Планшеты,Сидорова,113995.56,3,12185.48,completed,0,2026-05-25,0
